Fecha,DM índice,DM ETF,Convexidad Índice,Convexidad ETF,YTM Índice,YTM Índice,Current Yield Índice,Current Yield ETF,Sherman Ratio Índice,Sherman Ratio ETF,Max Drawdown Índice,Max Drawdown ETF
12/31/14,4.18,4.29,30.71,30.71,10.40%,10.57%,8.66%,10.64%,2.75%,2.77%,-1.71%,-1.80%
12/31/15,3.89,4.01,25.57,26.15,9.81%,9.80%,9.05%,10.15%,2.39%,2.32%,-0.92%,-0.97%
12/31/16,4.10,4.28,27.56,28.98,10.26%,10.26%,8.78%,10.35%,2.56%,2.52%,-0.31%,-0.33%
12/31/17,4.37,4.39,30.96,30.94,9.84%,9.99%,8.98%,10.22%,2.26%,2.28%,-1.24%,-1.17%
12/31/18,3.99,4.10,25.59,26.69,9.89%,9.80%,9.11%,10.07%,2.42%,2.35%,-2.00%,-2.07%
12/31/19,3.56,3.59,21.92,21.88,9.41%,9.45%,9.41%,9.92%,2.48%,2.45%,-1.21%,-1.26%
12/31/20,3.67,3.77,27.02,27.82,9.09%,9.30%,9.62%,9.67%,2.48%,2.47%,-1.87%,-2.03%
12/31/21,3.63,4.04,24.06,30.52,6.22%,6.23%,11.01%,8.13%,1.70%,1.62%,-3.56%,-3.56%
12/31/22,3.22,3.25,18.35,18.40,10.73%,10.53%,10.61%,8.76%,3.21%,3.04%,-13.58%,-14.15%
12/31/23,3.00,2.96,16.78,17.03,10.46%,10.74%,10.14%,11.14%,3.39%,3.53%,-12.86%,-13.49%
