FECHA,INDEX,CCI
12/31/14,15.66%,11.02%
01/31/15,18.63%,11.09%
02/28/15,18.10%,11.01%
03/31/15,22.23%,11.29%
04/30/15,22.51%,11.34%
05/31/15,18.47%,11.58%
06/30/15,14.89%,10.99%
07/31/15,10.72%,10.22%
08/31/15,10.69%,10.24%
09/30/15,10.73%,10.17%
10/31/15,13.21%,10.03%
11/30/15,14.27%,9.91%
12/31/15,12.05%,9.70%
01/31/16,9.12%,9.40%
02/29/16,9.29%,9.32%
03/31/16,7.92%,9.02%
04/30/16,7.17%,8.94%
05/31/16,7.25%,8.70%
06/30/16,7.52%,8.47%
07/31/16,9.86%,8.44%
08/31/16,9.37%,8.41%
09/30/16,9.10%,8.42%
10/31/16,9.42%,8.51%
11/30/16,9.91%,8.73%
12/31/16,11.03%,8.83%
01/31/17,10.30%,8.96%
02/28/17,10.90%,8.83%
03/31/17,10.28%,8.76%
04/30/17,10.86%,8.62%
05/31/17,9.89%,8.64%
06/30/17,10.16%,8.57%
07/31/17,12.12%,8.58%
08/31/17,12.60%,8.88%
09/30/17,13.92%,8.82%
10/31/17,16.15%,9.10%
11/30/17,21.09%,9.37%
12/31/17,18.57%,9.82%
01/31/18,19.99%,9.95%
02/28/18,18.98%,10.27%
03/31/18,15.09%,9.85%
04/30/18,16.57%,9.88%
05/31/18,13.81%,9.61%
06/30/18,15.21%,9.16%
07/31/18,11.30%,9.12%
08/31/18,10.66%,8.69%
09/30/18,9.81%,8.45%
10/31/18,7.08%,7.99%
11/30/18,2.79%,7.35%
12/31/18,4.97%,6.76%
01/31/19,6.32%,6.74%
02/28/19,7.60%,6.57%
03/31/19,10.55%,6.85%
04/30/19,10.83%,7.07%
05/31/19,13.89%,7.78%
06/30/19,12.21%,8.45%
07/31/19,14.30%,8.77%
08/31/19,15.59%,9.37%
09/30/19,15.57%,9.75%
10/31/19,13.15%,9.66%
11/30/19,14.28%,9.89%
12/31/19,14.19%,9.81%
01/31/20,11.54%,9.59%
02/29/20,9.67%,9.63%
03/31/20,9.26%,9.19%
04/30/20,4.35%,9.16%
05/31/20,4.47%,9.11%
06/30/20,5.71%,9.50%
07/31/20,9.90%,9.08%
08/31/20,10.61%,8.62%
09/30/20,11.85%,8.49%
10/31/20,16.25%,8.92%
11/30/20,16.81%,9.14%
12/31/20,18.73%,9.28%
01/31/21,18.83%,9.36%
02/28/21,19.83%,10.39%
03/31/21,19.25%,10.84%
04/30/21,24.21%,10.41%
05/31/21,23.98%,10.18%
06/30/21,23.47%,10.07%
07/31/21,22.00%,10.28%
08/31/21,24.04%,11.23%
09/30/21,25.83%,11.08%
10/31/21,21.67%,11.29%
11/30/21,19.12%,11.02%
12/31/21,12.71%,11.15%
01/31/22,5.19%,10.90%
02/28/22,3.46%,7.98%
03/31/22,3.86%,8.14%
04/30/22,2.44%,8.03%
05/31/22,-1.50%,7.43%
06/30/22,-4.96%,6.50%
07/31/22,-8.57%,5.94%
08/31/22,-11.61%,4.35%
09/30/22,-13.38%,4.23%
10/31/22,-12.69%,3.76%
11/30/22,-12.43%,4.01%
12/31/22,-9.27%,4.52%
01/31/23,-4.35%,4.67%
02/28/23,0.99%,6.10%
03/31/23,2.08%,5.69%
04/30/23,5.46%,5.52%
05/31/23,10.27%,5.50%
06/30/23,19.11%,5.87%
07/31/23,19.62%,6.68%
08/31/23,19.23%,7.67%
09/30/23,18.52%,8.12%
10/31/23,18.48%,8.19%
11/30/23,18.58%,7.86%
12/31/23,20.02%,7.74%
