Fondo,Rentabilidad
Índice Sintético,20.01%
Fondo de Inversión Alto Liquidez I,9.25%
BHD Liquidez,11.07%
Renta Fija Liquidez Popular,13.98%
BHD Plazo 30 días,10.41%
Universal Liquidez,10.70%
Deposito Financiero Flexible,9.27%
Liquidez Excel,9.11%
JMMB Mercado de Dinero,8.12%
Reservas Quisqueya,10.21%
BHD Tu Futuro,8.07%
BHD Plazo 90 días,6.71%
Fondo Abierto Dinámico Excel,11.74%
Renta Valores,10.05%
Matrimonial Reservas El Bohio,12.16%
Reservas Larimar,13.10%
JMMB Plazo 90 días,7.65%
Renta Futuro,10.95%
JMMB Mercado Dinero Dólares,4.01%
Liquidez Excel Dólares,3.95%
Dólares Reservas Caoba,5.03%
BHD Plazo 30 días Dólar,3.59%
Plazo Mensual Dólar,3.91%
